trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,etRecord.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,PRED,12,1.1284230863117128,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1284230863117128,2.128423086311713,0.8715769136882869,3,1,1.878423086311713,0,0,0,0,0,0,4,4,2,,,,,,,0.004909957999188919,107.61370016699948,107.61370016699948,108.62714487500125,109.49397954199958,109.71373474999928,109.71373474999928,109.71373474999928,110.59383750000052,110.59383750000052,110.59383750000052,110.59383750000052,4.030587041001127,111.59405179200257,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,0.5949357833197901,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5949357833197901,1.59493578331979,1.40506421668021,3,1,1.34493578331979,0,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,0.5949357833197901,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5949357833197901,1.59493578331979,1.40506421668021,3,1,1.34493578331979,0,0,0,0,0,0,5,5,4,,,,,,,0.0049319999998260755,111.64662862499972,111.64662862499972,112.66054720900138,112.99390962500183,113.22705400000268,113.22705400000268,113.22705400000268,114.62672408400249,114.64584100000138,114.64584100000138,114.64584100000138,4.029486750001524,115.6273038750005,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.9326621247010212,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.9326621247010212,1.9326621247010207,1.0673378752989788,3,1,1.6826621247010212,0,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
0,PRED,12,0.9326621247010212,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.9326621247010212,1.9326621247010207,1.0673378752989788,3,1,1.6826621247010212,0,0,0,0,0,0,6,6,0,,,,,,,0.004812291997950524,115.67985625000074,115.67985625000074,116.6938473750015,117.36058475000027,117.59376970900121,117.59376970900121,117.59376970900121,118.6606007090013,118.6606007090013,118.6606007090013,118.6606007090013,4.031128791997617,119.6606512090002,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
1,PRED,12,1.000201767866499,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.000201767866499,2.000201767866499,0.999798232133501,3,1,1.7502017678664992,0,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
1,PRED,12,1.000201767866499,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.000201767866499,2.000201767866499,0.999798232133501,3,1,1.7502017678664992,0,0,0,0,0,0,7,7,1,,,,,,,0.0050007499994535465,119.7131766670027,119.7131766670027,120.72733750000043,121.46066224999959,121.69381658400016,121.69381658400016,121.69381658400016,122.69388504200106,122.69388504200106,122.69388504200106,122.69388504200106,4.029899124998337,123.693820667002,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.5293065498986157,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5293065498986157,1.5293065498986156,1.4706934501013844,3,1,1.2793065498986156,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
8,PRED,12,0.5293065498986157,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,0.5293065498986157,1.5293065498986156,1.4706934501013844,3,1,1.2793065498986156,0,0,0,0,0,0,8,8,8,,,,,,,0.004962750001141103,123.74718570900222,123.74718570900222,124.76032074999966,125.0269413749993,125.26035425000009,125.26035425000009,125.26035425000009,126.72730829200009,126.72730829200009,126.72730829200009,126.72730829200009,4.029788332998578,127.72737487500126,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,127.78817791700203,139.81432754200068,,,,,,,,,,,,,,,200001,001,2023-03-10_11h52.53.490,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
