paradigm_name,trialNum,cue_onset,cue_dur,delayTime,delay_resp_period,rest_dur,trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,7,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,9,9,7,,,,,,,52.84545370799606,52.84545370799606,53.04605779098347,53.26273512499756,53.49644854100188,53.49644854100188,53.49644854100188,53.49644854100188,53.8459870829829,53.8459870829829,53.8459870829829,53.8459870829829,53.8459870829829,54.04524433298502,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,3,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,10,10,3,,,,,,,54.04524433298502,54.04524433298502,54.24601487498148,54.46264012498432,54.696149291004986,54.696149291004986,54.696149291004986,54.696149291004986,55.04540916599217,55.04540916599217,55.04540916599217,55.04540916599217,55.04540916599217,55.24522345798323,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,14,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,11,11,14,,,,,,,55.24522345798323,55.24522345798323,55.44523745798506,55.66197508299956,55.89613129099598,55.89613129099598,55.89613129099598,55.89613129099598,56.2460347499873,56.2460347499873,56.2460347499873,56.22937524999725,56.2460347499873,56.42872308299411,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,12,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,12,12,12,,,,,,,56.42872308299411,56.42872308299411,56.62942362498143,56.84530945800361,57.079658040980576,57.079658040980576,57.079658040980576,57.079658040980576,57.42942474997835,57.42942474997835,57.42942474997835,57.42942474997835,57.42942474997835,57.62868720799452,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,5,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,13,13,5,,,,,,,57.62868720799452,57.62868720799452,57.829419165995205,58.0462580829917,58.279540666000685,58.279540666000685,58.279540666000685,58.279540666000685,58.62939270798233,58.62939270798233,58.62939270798233,58.62939270798233,58.62939270798233,58.82863304100465,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,11,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,14,14,11,,,,,,,58.82863304100465,58.82863304100465,59.02897183300229,59.24620833300287,59.47928008300369,59.47928008300369,59.47928008300369,59.47928008300369,59.82945570797892,59.82945570797892,59.82945570797892,59.82945570797892,59.82945570797892,60.02856554099708,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,13,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,15,15,13,,,,,,,60.02856554099708,60.02856554099708,60.22850254099467,60.44622029099264,60.67937516598613,60.67937516598613,60.67937516598613,60.67937516598613,61.02959274998284,61.02959274998284,61.02959274998284,61.02959274998284,61.02959274998284,61.228858665999724,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,17,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,16,16,17,,,,,,,61.228858665999724,61.228858665999724,61.4290708329936,61.64606170798652,61.87886904098559,61.87886904098559,61.87886904098559,61.87886904098559,62.229326665983535,62.229326665983535,62.229326665983535,62.229326665983535,62.229326665983535,62.428509207995376,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
stimBlast,18,0,0.2,0.4630649138268907,0.8,0.2,2,PRED,12,0.4630649138268907,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0.2,0.4630649138268907,0.6630649138268907,0.3369350861731093,1.0,0.4130649138268907,0,1.2,1.0,0.2,0,0,0,0,0,17,17,2,,,,,,,62.428509207995376,62.428509207995376,62.62931458299863,62.845576749998145,63.079248915979406,63.079248915979406,63.079248915979406,63.079248915979406,63.429576750000706,63.429576750000706,63.429576750000706,63.429576750000706,63.429576750000706,63.696132915996714,0,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,63.696132915996714,75.70760983298533,,,,,,,,,,,,,,,,,,100001,001,2023-04-13_15h49.17.105,DMS_etROI_12-36_stimBlast,2022.2.4,59.95004649812308,
