trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,targImage,targImage_i,targImage_pos,targImage_X,targImage_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,roi.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,roi.stopped,polygon.stopped,roi.numLooks,roi.timesOn,roi.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
11,UNPRED,12,0.5236928638573171,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,0,0,2,,,,,,,76.74302083300427,76.74302083300427,77.75256504199933,78.0186990420043,78.26851220801473,78.26851220801473,78.26851220801473,78.26851220801473,79.75145383301424,79.75145383301424,79.75145383301424,79.73478437500307,79.75145383301424,80.73505775001831,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
9,UNPRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,1,1,0,,,,,,,80.73505775001831,80.73505775001831,81.73529529201915,82.01877749999403,82.25272537500132,82.25272537500132,82.25272537500132,82.25272537500132,83.73520262501552,83.73520262501552,83.73520262501552,83.71865850000177,83.73520262501552,84.72982300000149,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
10,UNPRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,2,2,1,,,,,,,84.72982300000149,84.72982300000149,85.7354408329993,86.01856320799561,86.23606391699286,86.23606391699286,86.23606391699286,86.23606391699286,87.71877737500472,87.71877737500472,87.71877737500472,87.71877737500472,87.71877737500472,88.71954862499842,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
14,UNPRED,12,0.5236928638573171,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]","[11.733433509789464, 11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,3,3,5,,,,,,,88.71954862499842,88.71954862499842,89.73546029199497,90.00178529199911,90.23519104201114,90.23519104201114,90.23519104201114,90.23519104201114,91.71900354200625,91.71900354200625,91.71900354200625,91.71900354200625,91.71900354200625,92.73305520799477,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
13,UNPRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,4,4,4,,,,,,,92.73305520799477,92.73305520799477,93.73526558300364,94.01907633300289,94.23537266699714,94.23537266699714,94.23537266699714,94.23537266699714,95.71923712501302,95.71923712501302,95.71923712501302,95.71923712501302,95.71923712501302,96.71944358301698,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
17,UNPRED,12,0.5236928638573171,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,5,5,8,,,,,,,96.71944358301698,96.71944358301698,97.71889766701497,98.00245045800693,98.23588020799798,98.23588020799798,98.23588020799798,98.23588020799798,99.71881462499732,99.71881462499732,99.71881462499732,99.71881462499732,99.71881462499732,100.71816133300308,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
15,UNPRED,12,0.5236928638573171,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]","[11.733433509789462, -11.733433509789466]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,6,6,6,,,,,,,100.71816133300308,100.71816133300308,101.71866470799432,102.00210229199729,102.23638354201103,102.23638354201103,102.23638354201103,102.23638354201103,103.7188885420037,103.7188885420037,103.7188885420037,103.70214762500837,103.7188885420037,104.71489362500142,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
12,UNPRED,12,0.5236928638573171,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]","[-11.733433509789466, -11.733433509789462]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,7,7,3,,,,,,,104.71489362500142,104.71489362500142,105.718820375012,106.00208737500361,106.21874000001117,106.21874000001117,106.21874000001117,106.21874000001117,107.70222983299755,107.70222983299755,107.70222983299755,107.70222983299755,107.70222983299755,108.70270487500238,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
16,UNPRED,12,0.5236928638573171,1,images/picture_2.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]","[-11.733433509789462, 11.733433509789464]",0,1,1,0.5236928638573171,1.523692863857317,1.476307136142683,3.0,1,1.273692863857317,0,4.0,3.0,1,2,1,0,1,0,0,8,8,7,,,,,,,108.70270487500238,108.70270487500238,109.70260424999287,109.98567741701845,110.21901900001103,110.21901900001103,110.21901900001103,110.21901900001103,111.70208045799518,111.70208045799518,111.70208045799518,111.70208045799518,111.70208045799518,112.76322083300329,0,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,112.76322083300329,124.80870850000065,,,,,,,,,,,,,,,,,,100001,001,2023-04-13_15h25.45.422,DMS_etROI_12-36,2022.2.4,59.85898707214863,
