trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,etRecord.started,sample.started,Delay.started,sample.stopped,Response_1.started,Response_2.started,Response_3.started,Delay.stopped,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.stopped,etRecord.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,PRED,12,0.5318170788255379,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.5318170788255379,1.531817078825538,1.468182921174462,3,1,1.281817078825538,0,0,0,0,0,0,4,4,1,,,,,,,0.00458608299959451,255.70654012495652,255.70654012495652,256.71517720795237,256.72919362492394,256.72919362492394,256.72919362492394,256.99574225000106,258.1958622080274,258.1958622080274,258.1958622080274,258.1958622080274,259.19610741594806,4.506667332956567,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
7,PRED,12,0.505219049668584,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.505219049668584,1.5052190496685838,1.4947809503314162,3,1,1.255219049668584,0,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
7,PRED,12,0.505219049668584,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.505219049668584,1.5052190496685838,1.4947809503314162,3,1,1.255219049668584,0,0,0,0,0,0,5,5,7,,,,,,,0.004908833070658147,260.72620041598566,260.72620041598566,261.72933179093525,261.7152530410094,261.7152530410094,261.7152530410094,261.99586341599934,263.2149915000191,263.2149915000191,263.2149915000191,263.2149915000191,264.2292408749927,4.511892750044353,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,1.1002504885155342,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1002504885155342,2.100250488515534,0.8997495114844658,3,1,1.8502504885155344,0,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
4,PRED,12,1.1002504885155342,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.1002504885155342,2.100250488515534,0.8997495114844658,3,1,1.8502504885155344,0,0,0,0,0,0,6,6,4,,,,,,,0.003252208000048995,265.7493903329596,265.7493903329596,266.7625925409375,267.32929158292245,267.32929158292245,267.32929158292245,267.5960052079754,268.22904775000643,268.22904775000643,268.22904775000643,268.22904775000643,269.2293083749246,4.519140333053656,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
2,PRED,12,0.8942287514684624,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.8942287514684624,1.8942287514684624,1.1057712485315376,3,1,1.6442287514684624,0,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
2,PRED,12,0.8942287514684624,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,0.8942287514684624,1.8942287514684624,1.1057712485315376,3,1,1.6442287514684624,0,0,0,0,0,0,7,7,2,,,,,,,0.004603542038239539,270.77284154098015,270.77284154098015,271.7820565829752,272.1623723329976,272.1623723329976,272.1623723329976,272.42916070797946,273.262358790962,273.2810462079942,273.2810462079942,273.2810462079942,274.2622235409217,4.506955625023693,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,0.7810833485805629,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7810833485805629,1.7810833485805628,1.2189166514194372,3,1,1.5310833485805628,0,0,0,0,0,0,8,8,6,,,,,,,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
6,PRED,12,0.7810833485805629,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,0.7810833485805629,1.7810833485805628,1.2189166514194372,3,1,1.5310833485805628,0,0,0,0,0,0,8,8,6,,,,,,,0.005024124984629452,275.7918011249276,275.7918011249276,276.7959179999307,277.0624545000028,277.0624545000028,277.0624545000028,277.3291227079462,278.28184879093897,278.296063415939,278.296063415939,278.296063415939,279.29584199993405,4.512720333063044,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,280.33667062502354,292.87347145797685,,,,,,,,,,,,,,,200002,202,2023-03-21_15h31.16.864,DMS_BEST_eyetracking_DAN_base_12-36_looped_10minWORKING,2022.2.4,None,
