trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,polygon.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,144.91448695799954,156.95401595800104,,,,,,,,,,,,,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
17,UNPRED,12,1.0553518990753048,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,0,0,8,,,,,,,156.95401595800104,156.95401595800104,157.9618616250009,158.76196254200113,158.99509491699973,158.99509491699973,158.99509491699973,159.94705700000122,159.94705700000122,159.94705700000122,159.94705700000122,160.96156750000046,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
13,UNPRED,12,1.0553518990753048,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,1,1,4,,,,,,,160.96156750000046,160.96156750000046,161.96187416700013,162.7817715830006,163.01512616699983,163.01512616699983,163.01512616699983,163.96181729199998,163.96181729199998,163.96181729199998,163.96181729199998,164.98066608299996,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
10,UNPRED,12,1.0553518990753048,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,2,2,1,,,,,,,164.98066608299996,164.98066608299996,165.99510033300066,166.79514675000064,167.015392583,167.015392583,167.015392583,167.96184141699996,167.96184141699996,167.96184141699996,167.96184141699996,168.9807366670011,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
14,UNPRED,12,1.0553518990753048,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,3,3,5,,,,,,,168.9807366670011,168.9807366670011,169.99528545800058,170.79494220800007,171.01382700000067,171.01382700000067,171.01382700000067,171.96189070800028,171.96189070800028,171.96189070800028,171.96189070800028,172.9610004999995,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
12,UNPRED,12,1.0553518990753048,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,4,4,3,,,,,,,172.9610004999995,172.9610004999995,173.96191487500073,174.78102299999955,175.01514337499975,175.01514337499975,175.01514337499975,175.96190245800062,175.96190245800062,175.96190245800062,175.96190245800062,176.96161279199987,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
15,UNPRED,12,1.0553518990753048,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,5,5,6,,,,,,,176.96161279199987,176.96161279199987,177.96183745800045,178.78131887500058,179.014828708001,179.014828708001,179.014828708001,179.96186983299958,179.96186983299958,179.96186983299958,179.96186983299958,180.98055341700092,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
16,UNPRED,12,1.0553518990753048,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,6,6,7,,,,,,,180.98055341700092,180.98055341700092,181.99516575000052,182.7951302500005,183.01467650000086,183.01467650000086,183.01467650000086,183.9618530000007,183.9618530000007,183.9618530000007,183.9618530000007,184.96139337500063,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
11,UNPRED,12,1.0553518990753048,0,images/picture_1.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,7,7,2,,,,,,,184.96139337500063,184.96139337500063,185.96189483300077,186.78127683300045,187.01524945799974,187.01524945799974,187.01524945799974,187.96189033300107,187.96189033300107,187.96189033300107,187.96189033300107,188.9812657500006,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
9,UNPRED,12,1.0553518990753048,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0553518990753048,2.055351899075305,0.9446481009246952,3.0,1,1.8053518990753048,0,4.0,3.0,1,2,1,0,1,0,0,8,8,0,,,,,,,188.9812657500006,188.9812657500006,189.99511341700054,190.7950825830012,191.01435325000057,191.01435325000057,191.01435325000057,191.9617182080001,191.9617182080001,191.9617182080001,191.9617182080001,192.9931831670001,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,192.9931831670001,205.01465816699965,,,,,,,,,,,,,200005,205,2023-04-11_15h33.57.968,DMS_et_12-36,2022.2.4,None,
