1.0061 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2269.4454 	EXP 	Created sequence: random, trialTypes=9, nReps=9, seed=None
2269.4465 	EXP 	New trial (rep=0, index=0): OrderedDict([('trial_count', 5), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage1_X', -11.733433509789464), ('responseImage1_Y', -11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [11.733433509789464, 11.733433509789462]), ('responseImage2_X', 11.733433509789464), ('responseImage2_Y', 11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage3_X', -11.733433509789462), ('responseImage3_Y', 11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2269.4525 	EXP 	eyetracker.clearEvents()
2269.9548 	EXP 	eyetracker.setRecordingState(True)
2269.9727 	EXP 	text_2: autoDraw = False
2269.9727 	EXP 	text_2: autoDraw = False
2269.9727 	EXP 	sample: image = 'images/picture_1.png'
2269.9727 	EXP 	sample: autoDraw = True
2269.9727 	EXP 	Delay: autoDraw = True
2270.8910 	DATA 	Keypress: t
2270.9751 	EXP 	sample: autoDraw = False
2271.2900 	EXP 	Response_1: autoDraw = True
2271.2900 	EXP 	Response_2: autoDraw = True
2271.2900 	EXP 	Response_3: autoDraw = True
2271.5768 	EXP 	Delay: autoDraw = False
2272.3922 	DATA 	Keypress: t
2272.4565 	EXP 	Response_1: autoDraw = False
2272.4565 	EXP 	Response_2: autoDraw = False
2272.4565 	EXP 	Response_3: autoDraw = False
2272.4565 	EXP 	polygon: autoDraw = True
2273.4571 	EXP 	polygon: autoDraw = False
2273.8921 	DATA 	Keypress: t
2274.5306 	EXP 	eyetracker.setRecordingState(False)
