trial_count,blockType,blockNum,delay_time,stimImage_i,stimImage,responseImage1,responseImage1_i,responseImage1_pos,responseImage1_X,responseImage1_Y,responseImage2,responseImage2_i,responseImage2_pos,responseImage2_X,responseImage2_Y,responseImage3,responseImage3_i,responseImage3_pos,responseImage3_X,responseImage3_Y,cue_onset,cue_dur,delay_onset,delay_dur,resp_onset,resp_dur,rest_onset,rest_dur,circle_dur,circle_onset,total_dur,cross_onset,cross_dur,delay_resp_period,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,sample.started,Delay.started,sample.stopped,Delay.stopped,Response_1.started,Response_2.started,Response_3.started,Response_1.stopped,Response_2.stopped,Response_3.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,265.24534295802005,277.28309470799286,,,,,,,,,,,,,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
17,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,0,0,8,,,,,,,277.28309470799286,277.28309470799286,278.29232345800847,279.1257879580371,279.3451481660595,279.3451481660595,279.3451481660595,280.2783783330815,280.2783783330815,280.2783783330815,280.2783783330815,281.3108902500244,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
9,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_3.png,2,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,1,1,0,,,,,,,281.3108902500244,281.3108902500244,282.32597412506584,283.14504866604693,283.3593825000571,283.3593825000571,283.3593825000571,284.2922273330623,284.2922273330623,284.2922273330623,284.2922273330623,285.3118910409976,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
15,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_2.png,1,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,2,2,6,,,,,,,285.3118910409976,285.3118910409976,286.3260883750627,287.14523854106665,287.35928687499836,287.35928687499836,287.35928687499836,288.292700250051,288.292700250051,288.292700250051,288.292700250051,289.29235170804895,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
12,UNPRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,3,3,3,,,,,,,289.29235170804895,289.29235170804895,290.29246195801534,291.12599195807707,291.3592860830249,291.3592860830249,291.3592860830249,292.292575041065,292.292575041065,292.292575041065,292.292575041065,293.3114465830149,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
11,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,4,4,2,,,,,,,293.3114465830149,293.3114465830149,294.3260035830317,295.1454078750685,295.359280625009,295.359280625009,295.359280625009,296.29245791607536,296.29245791607536,296.29245791607536,296.29245791607536,297.3111087080324,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
14,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,5,5,5,,,,,,,297.3111087080324,297.3111087080324,298.3259719579946,299.14466295810416,299.3588777080877,299.3588777080877,299.3588777080877,300.29274395806715,300.29274395806715,300.29274395806715,300.29274395806715,301.3121697080787,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
16,UNPRED,12,1.0794113242427414,2,images/picture_3.png,images/picture_1.png,0,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,images/picture_2.png,1,"[11.733433509789464, 11.733433509789462]",11.733433509789464,11.733433509789462,images/picture_3.png,2,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,6,6,7,,,,,,,301.3121697080787,301.3121697080787,302.32554874999914,303.14515070803463,303.35928683308885,303.35928683308885,303.35928683308885,304.2927588330349,304.2927588330349,304.2927588330349,304.2927588330349,305.29198383307084,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
10,UNPRED,12,1.0794113242427414,1,images/picture_2.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,7,7,1,,,,,,,305.29198383307084,305.29198383307084,306.29273695801385,307.1260033750441,307.3594878750155,307.3594878750155,307.3594878750155,308.29222691606265,308.29222691606265,308.29222691606265,308.29222691606265,309.29245158308186,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
13,UNPRED,12,1.0794113242427414,0,images/picture_1.png,images/picture_1.png,0,"[11.733433509789462, -11.733433509789466]",11.733433509789462,-11.733433509789464,images/picture_2.png,1,"[-11.733433509789462, 11.733433509789464]",-11.733433509789462,11.733433509789464,images/picture_3.png,2,"[-11.733433509789466, -11.733433509789462]",-11.733433509789464,-11.733433509789462,0,1,1,1.0794113242427414,2.079411324242741,0.9205886757572586,3.0,1,1.8294113242427412,0,4.0,3.0,1,2,1,0,1,0,0,8,8,4,,,,,,,309.29245158308186,309.29245158308186,310.2924753749976,311.1260281660361,311.3592997500673,311.3592997500673,311.3592997500673,312.29270820808597,312.29270820808597,312.29270820808597,312.29270820808597,313.3270083750831,200003,102,2023-03-24_12h47.59.021,DMS_et_12-36,2022.2.4,None,
